date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:31	8804/8804	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jssocials.min.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jssocials.min5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:31	2673/2673	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.counterup.min.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.counterup.min5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:33	8833/8833	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.waypoints.min.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.waypoints.min5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:34	7609/7609	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.viewportChecker.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.viewportChecker5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:36	7994/7994	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2004:11:25%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/imagesloaded.min.js?ver=3.2.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/imagesloaded.min55a0.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:36	40847/40847	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/isotope.pkgd.min.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/isotope.pkgd.min5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:37	35051/35051	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/velocity.min.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/velocity.min5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:38	6162/6162	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.simpleselect.min.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.simpleselect.min5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:39	28954/28954	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Jun%202016%2018:48:31%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/masonry.min.js?ver=3.3.2	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/masonry.mind617.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:39	469972/469972	---M--	200	added ('OK')	image/jpeg	date:Wed,%2002%20Jan%202019%2011:42:26%20GMT	http://sjesinstitutions.com/sjes-society-polytechnic/wp-content/uploads/2019/01/1.jpg	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/uploads/2019/01/1.jpg	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
